Data	Otwarcie	Max	Min	Zamkniêcie
2010-06-27	3.0449	3.1206	3.0341	3.1041
2010-06-28	3.1041	3.1595	3.1033	3.1490
2010-06-29	3.1490	3.1578	3.1027	3.1486
2010-06-30	3.1486	3.1770	3.1126	3.1338
2010-07-01	3.1338	3.1374	3.0882	3.1106
2010-07-03	3.1003	3.1033	3.0953	3.1030
2010-07-04	3.1030	3.1050	3.0781	3.0889
2010-07-05	3.0889	3.1030	3.0518	3.0721
2010-07-06	3.0721	3.1005	3.0697	3.0864
2010-07-07	3.0864	3.0875	3.0532	3.0611
2010-07-08	3.0611	3.0648	3.0385	3.0446
2010-07-11	3.0583	3.0646	3.0308	3.0431
2010-07-12	3.0431	3.0629	3.0274	3.0314
2010-07-13	3.0314	3.0349	3.0079	3.0276
2010-07-14	3.0276	3.0427	3.0122	3.0242
2010-07-15	3.0242	3.0459	3.0129	3.0215
2010-07-17	3.0531	3.0688	3.0503	3.0640
2010-07-18	3.0640	3.0736	3.0156	3.0300
2010-07-19	3.0300	3.0646	3.0063	3.0312
2010-07-20	3.0312	3.0762	3.0188	3.0629
2010-07-21	3.0629	3.0808	3.0312	3.0315
2010-07-22	3.0315	3.0501	2.9784	2.9840
2010-07-24	2.9912	2.9962	2.9885	2.9885
2010-07-25	2.9885	2.9887	2.9502	2.9549
2010-07-26	2.9549	2.9554	2.8996	2.9068
2010-07-29	2.9506	2.9731	2.9372	2.9504
2010-07-31	2.9469	2.9511	2.9394	2.9398
2010-08-01	2.9398	2.9482	2.9045	2.9076
2010-08-02	2.9076	2.9254	2.9028	2.9127
